"","order","participant","group","age","gender","condition","version","demoOrder","firstSet","test","firstPicture","answer","choice","p1","p2","p3","p4","p5","p6","acc_p1","acc_p2","acc_p3","acc_p4","acc_p5","acc_p6","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","ave_acc","ave_PTS","ave_IG"
"226",226,"EI2_38HP","children",80.1,"M","report","old","['R', 'G', 'Y']",NA,"(6, 3, 2, 4, 1, 5)","[2, 2, 2, 1, 1, 2]","('R', 'Y', 'R', 'Y', 'G', 'G')","('R', 'G', 'Y', 'Y', 'Y', 'Y')",1,1,2,1,1,3,0,1,0,1,1,1,1,0,1,1,0,1,0.666666667,0.75,0.333333333333333
"227",227,"EI2_40JR","children",93.5,"F","report","old","['R', 'Y', 'G']",NA,"(1, 3, 6, 5, 4, 2)","[1, 2, 1, 1, 2, 1]","('G', 'Y', 'R', 'G', 'Y', 'R')","('Y', 'R', 'G', 'R', 'R', 'Y')",1,1,3,3,3,2,0,0,0,1,1,1,0,0,1,1,1,0,0.5,0.833333333333333,0
"228",228,"EI2_44ES","children",83,"F","report","old","['G', 'R', 'Y']",NA,"(4, 2, 1, 6, 3, 5)","[1, 2, 1, 2, 2, 2]","('Y', 'R', 'G', 'R', 'Y', 'G')","('G', 'R', 'Y', 'Y', 'Y', 'G')",1,3,1,2,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0.333333333,0.5,0.5
"229",229,"EI2_46KM","children",95.1,"F","report","old","['Y', 'G', 'R']",NA,"(1, 2, 3, 4, 5, 6)","[1, 2, 1, 1, 1, 2]","('G', 'R', 'Y', 'Y', 'G', 'R')","('Y', 'Y', 'Y', 'G', 'R', 'R')",1,1,1,2,3,3,1,1,1,1,0,1,1,1,1,1,0,1,0.833333333,0.75,0.333333333333333
"230",230,"EI2_48TK","children",92.7,"M","report","old","['R', 'Y', 'G']",NA,"(3, 5, 4, 6, 1, 2)","[2, 2, 1, 2, 1, 2]","('Y', 'G', 'Y', 'R', 'G', 'R')","('Y', 'G', 'Y', 'R', 'G', 'Y')",2,1,1,1,2,3,1,0,1,1,1,1,1,1,1,1,1,0,0.833333333,0.75,0.833333333333333
"231",231,"EI2_49OL","children",89.6,"M","report","old","['Y', 'R', 'G']",NA,"(6, 2, 1, 5, 3, 4)","[1, 1, 1, 1, 2, 2]","('R', 'R', 'G', 'G', 'Y', 'Y')","('G', 'R', 'G', 'G', 'Y', 'Y')",2,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.833333333333333
"232",232,"EI2_52NC","children",79.4,"M","report","old","['G', 'R', 'Y']",NA,"(1, 3, 2, 5, 4, 6)","[2, 2, 1, 2, 2, 1]","('G', 'Y', 'R', 'G', 'Y', 'R')","('Y', 'Y', 'Y', 'R', 'Y', 'G')",1,1,1,1,3,2,1,0,1,1,0,0,1,1,0,0,1,0,0.5,1,0.333333333333333
"233",233,"EI2_54HG","children",75.7,"M","report","old","['R', 'G', 'Y']",NA,"(5, 1, 4, 3, 6, 2)","[1, 1, 2, 2, 1, 2]","('G', 'G', 'Y', 'Y', 'R', 'R')","('Y', 'Y', 'R', 'G', 'G', 'Y')",1,1,2,3,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0.166666667,0.833333333333333,0
"234",234,"EI2_56PC","children",95,"F","report","old","['Y', 'G', 'R']",NA,"(6, 5, 1, 2, 4, 3)","[2, 2, 1, 1, 1, 1]","('R', 'G', 'G', 'R', 'Y', 'Y')","('R', 'Y', 'G', 'R', 'Y', 'Y')",2,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.583333333333333,0.833333333333333
"235",235,"EI2_58JW","children",89.8,"M","report","old","['Y', 'G', 'R']",NA,"(1, 4, 5, 6, 3, 2)","[1, 2, 1, 2, 2, 2]","('G', 'Y', 'G', 'R', 'Y', 'R')","('Y', 'R', 'R', 'G', 'R', 'G')",1,2,3,3,3,2,0,1,0,1,0,1,0,1,0,1,0,1,0.5,0.666666666666667,0
"236",236,"EI2_60MC","children",87.7,"F","report","old","['Y', 'R', 'G']",NA,"(6, 1, 2, 3, 5, 4)","[1, 2, 2, 1, 1, 2]","('R', 'G', 'R', 'Y', 'G', 'Y')","('R', 'G', 'R', 'Y', 'G', 'Y')",2,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1
"237",237,"EI2_62HL","children",93.4,"F","report","old","['Y', 'R', 'G']",NA,"(5, 4, 2, 6, 3, 1)","[2, 2, 2, 2, 1, 2]","('G', 'Y', 'R', 'R', 'Y', 'G')","('G', 'Y', 'G', 'R', 'Y', 'Y')",1,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,0.666666666666667
"238",238,"EI2_64HH","children",94,"F","report","old","['R', 'G', 'Y']",NA,"(5, 6, 1, 2, 3, 4)","[1, 2, 2, 1, 1, 1]","('G', 'R', 'G', 'R', 'Y', 'Y')","('R', 'G', 'Y', 'Y', 'G', 'Y')",1,1,2,1,3,2,0,1,0,1,1,1,1,1,0,1,0,1,0.666666667,1,0.166666666666667
"239",239,"EI2_66BP","children",88.1,"M","report","old","['G', 'Y', 'R']",NA,"(2, 4, 3, 1, 5, 6)","[1, 2, 2, 2, 1, 2]","('R', 'Y', 'Y', 'G', 'G', 'R')","('Y', 'R', 'G', 'G', 'R', 'R')",2,1,2,3,3,3,1,0,1,0,1,0,0,0,1,1,1,0,0.5,0.833333333333333,0.333333333333333
"240",240,"EI2_69PR","children",85.2,"M","report","old","['Y', 'G', 'R']",NA,"(5, 1, 2, 3, 6, 4)","[2, 1, 2, 1, 1, 2]","('G', 'G', 'R', 'Y', 'R', 'Y')","('R', 'Y', 'Y', 'Y', 'R', 'Y')",1,1,1,1,3,3,1,1,0,1,1,0,1,1,1,0,0,1,0.666666667,0.916666666666667,0.5
"241",241,"EI2_68AP","children",85.5,"M","report","old","['R', 'G', 'Y']",NA,"(6, 3, 5, 4, 2, 1)","[1, 1, 1, 1, 1, 1]","('R', 'Y', 'G', 'Y', 'R', 'G')","('G', 'Y', 'R', 'R', 'Y', 'Y')",1,1,1,3,3,2,1,0,1,0,1,1,1,1,1,0,0,1,0.666666667,1,0.166666666666667
"242",242,"EI2_70AR","children",63.8,"F","report","old","['G', 'R', 'Y']",NA,"(1, 3, 2, 5, 4, 6)","[2, 1, 2, 2, 2, 1]","('G', 'Y', 'R', 'G', 'Y', 'R')","('Y', 'Y', 'Y', 'G', 'R', 'G')",1,1,1,3,2,2,0,1,1,1,1,0,0,1,1,1,1,0,0.666666667,0.916666666666667,0.333333333333333
"243",243,"EI2_73A","children",73,NA,"report","old","['Y', 'R', 'G']",NA,"(1, 3, 4, 2, 5, 6)","[2, 1, 2, 1, 2, 1]","('G', 'Y', 'Y', 'R', 'G', 'R')","('G', 'Y', 'R', 'Y', 'R', 'G')",2,1,1,3,3,2,1,0,1,0,0,0,1,1,0,0,0,0,0.333333333,0.916666666666667,0.333333333333333
"244",244,"EI2_74RT","children",78.8,NA,"report","old","['R', 'G', 'Y']",NA,"(5, 1, 2, 3, 4, 6)","[1, 1, 2, 1, 2, 2]","('G', 'G', 'R', 'Y', 'Y', 'R')","('R', 'G', 'Y', 'G', 'R', 'Y')",2,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.166666666666667
